Rate,reached,delta,expected,ERate,A1,A2,A3,E1,E2,E3
1000,9479 ,1000,546
2000,9223 ,2000,1499
3000,4514 ,3000,2365
4000,9197 ,4000,3724
5000,4568 ,4568,4110
6000,9541 ,6000,3555
7000,0,0  ,4958
8000,8768 ,8000,5713
9000,9310 ,9000,8602
10000,9149,9149,7116
11000,9417,9417,9164
12000,9420,9420,7150
13000,8972,8972,9470
14000,8879,8879,9817
15000,8858,8858,12372
16000,8795,8795,11628
17000,8624,8624,14204
18000,8623,8623,15124
19000,8340,8340,14935
20000,8464,8464,14306
21000,8442,8442,17501
22000,8163,8163,18565
23000,8077,8077,13749
24000,8689,8689,20532
25000,8458,8458,17826
26000,8652,8652,21982
27000,8444,8444,15963
28000,8458,8458,20338
29000,8547,8547,17241
30000,7971,7971,13909
