Rate,reached,delta,expected,ERate,A1,A2,A3,E1,E2,E3
1000,14817,1000,627
2000,14322,2000,2762
3000,14334,3000,4930
4000,13824,4000,4806
5000,13939,5000,7721
6000,13651,6000,11757
7000,13818,7000,13506
8000,13627,8000,16260
9000,13781,9000,17990
10000,13175,10000,19269
11000,13340,11000,21404
12000,13367,12000,23392
13000,12836,12836,25942
14000,12522,12522,26554
15000,12704,12704,32356
16000,12627,12627,33556
17000,12778,12778,38153
18000,12884,12884,35796
19000,11989,11989,42446
20000,12799,12799,46811
21000,12563,12563,46193
22000,11742,11742,50150
23000,11809,11809,55779
24000,12110,12110,52362
25000,11635,11635,62458
26000,11093,11093,67743
27000,11692,11692,68168
28000,11924,11924,69967
29000,10698,10698,72185
30000,11396,11396,74374
