nginx,cowboy,warp,ocsigen,nodejs,vibe,gohttp
 1000, 1000, 1000,1000, 1000, 1000,1000
 2000, 2000, 2000,2000, 2000, 2000,2000
 3000, 3000, 3000,3000, 3000, 3000,3000
 4000, 4000, 4000,4000, 4000, 4000,4000
 5000, 5000, 5000,4613, 5000, 5000,4568
 6000, 6000, 5163,4632, 6000, 6000,6000
 7000, 7000, 7000,4544, 7000, 7000,4958
 8000, 8000, 8000,4468, 8000, 8000,8000
 9000, 9000, 9000,4578, 9000, 9000,9000
10000,10000,10000,4533,10000,10000,9149
11000,11000,11000,4463,11111,11000,9417
12000,12000,12000,4382,12000,12000,9420
13000,13000,13000,4467,12836,13000,8972
14000,14000,14000,4505,12522,10164,8879
15000,15000,13497,4504,12704,13095,8858
16000,16000,16000,4467,12627,15680,8795
17000,17000,17000,4492,12778,15645,8624
18000,18000,18000,4513,12884,16564,8623
19000,19000,19000,4413,11989,15535,8340
20000,20000,17763,4478,12799,14059,8464
21000,21000,21000,4528,12563,11937,8442
22000,21554,22000,4493,11742,15234,8163
23000,22377,23000,4405,11809,15527,8077
24000,24000,16455,4352,12110,14323,8689
25000,24066,12353,4405,11635,11878,8458
26000,25753,24272,4382,11093,14896,8652
27000,24815,20551,4599,11692,12172,8444
28000,23438,18404,4445,11924,15502,8458
29000,21811,20967,4503,10698,11909,8547
30000,24676,21136,4560,11396, 9320,7971
